"Station1","Station2","Station3","Station4","Station5","Station6","From","To","F_Low","F_High","Species","Individual","Comments","Easting","Northing","Elevation","Power","Keep"
"Ex-8","Ex-5","Ex-6","Ex-9","Ex-4",NA,0.8,1.1,2000,6500,"REVI",1,"",371336.5362,5934569.993,745.2959,18.3068387320003,NA
"Ex-8","Ex-5","Ex-6","Ex-9","Ex-4",NA,1.9,2.2,2000,6500,"REVI",1,"",371336.5362,5934569.993,745.2959,18.0539335766892,NA
"Ex-8","Ex-5","Ex-6","Ex-9","Ex-4",NA,2.8,3.1,2000,6500,"REVI",1,"",371336.5362,5934569.993,744.2959,15.7023683836598,NA
"Ex-8","Ex-5","Ex-6","Ex-9","Ex-4",NA,4.2,4.5,2000,6500,"REVI",1,"",371335.5362,5934569.993,745.2959,17.0481257748288,NA
"Ex-8","Ex-5","Ex-6","Ex-9","Ex-4",NA,5,5.3,2000,6500,"REVI",1,"",371335.5362,5934569.993,746.2959,16.4387546519634,NA
"Ex-8","Ex-5","Ex-6","Ex-9","Ex-4",NA,6.1,6.4,2000,6500,"REVI",1,"",371336.5362,5934571.993,739.2959,12.6785924717944,NA
"Ex-5","Ex-2","Ex-3","Ex-6",NA,NA,4,5.9,4000,8000,"CCSP",1,"",371344.9024,5934606.039,737.7477,4.61146168382028,NA
